"","rank","suit","probs"
"1","2","Club",0.0192307692307692
"2","3","Club",0.0192307692307692
"3","4","Club",0.0192307692307692
"4","5","Club",0.0192307692307692
"5","6","Club",0.0192307692307692
"6","7","Club",0.0192307692307692
"7","8","Club",0.0192307692307692
"8","9","Club",0.0192307692307692
"9","10","Club",0.0192307692307692
"10","J","Club",0.0192307692307692
"11","Q","Club",0.0192307692307692
"12","K","Club",0.0192307692307692
"13","A","Club",0.0192307692307692
"14","2","Diamond",0.0192307692307692
"15","3","Diamond",0.0192307692307692
"16","4","Diamond",0.0192307692307692
"17","5","Diamond",0.0192307692307692
"18","6","Diamond",0.0192307692307692
"19","7","Diamond",0.0192307692307692
"20","8","Diamond",0.0192307692307692
"21","9","Diamond",0.0192307692307692
"22","10","Diamond",0.0192307692307692
"23","J","Diamond",0.0192307692307692
"24","Q","Diamond",0.0192307692307692
"25","K","Diamond",0.0192307692307692
"26","A","Diamond",0.0192307692307692
"27","2","Heart",0.0192307692307692
"28","3","Heart",0.0192307692307692
"29","4","Heart",0.0192307692307692
"30","5","Heart",0.0192307692307692
"31","6","Heart",0.0192307692307692
"32","7","Heart",0.0192307692307692
"33","8","Heart",0.0192307692307692
"34","9","Heart",0.0192307692307692
"35","10","Heart",0.0192307692307692
"36","J","Heart",0.0192307692307692
"37","Q","Heart",0.0192307692307692
"38","K","Heart",0.0192307692307692
"39","A","Heart",0.0192307692307692
"40","2","Spade",0.0192307692307692
"41","3","Spade",0.0192307692307692
"42","4","Spade",0.0192307692307692
"43","5","Spade",0.0192307692307692
"44","6","Spade",0.0192307692307692
"45","7","Spade",0.0192307692307692
"46","8","Spade",0.0192307692307692
"47","9","Spade",0.0192307692307692
"48","10","Spade",0.0192307692307692
"49","J","Spade",0.0192307692307692
"50","Q","Spade",0.0192307692307692
"51","K","Spade",0.0192307692307692
"52","A","Spade",0.0192307692307692
