"","price","make","body-style","wheel-base","engine-size","horsepower"
"1",13495,"alfa-romero","convertible",88.6,130,111
"2",17450,"audi","sedan",99.4,136,115
"3",15250,"audi","sedan",99.8,136,110
"4",17710,"audi","sedan",105.8,136,110
"5",16430,"bmw","sedan",101.2,108,101
"6",21105,"bmw","sedan",101.2,164,121
"7",41315,"bmw","sedan",103.5,209,182
"8",36880,"bmw","sedan",110,209,182
"9",6575,"chevrolet","sedan",94.5,90,70
"10",6229,"dodge","hatchback",93.7,90,68
"11",6692,"dodge","sedan",93.7,90,68
"12",7609,"dodge","sedan",93.7,90,68
"13",8921,"dodge","wagon",103.3,122,88
"14",6479,"honda","hatchback",86.6,92,58
"15",6855,"honda","hatchback",86.6,92,76
"16",5399,"honda","hatchback",93.7,79,60
"17",7295,"honda","sedan",96.5,92,76
"18",7295,"honda","wagon",96.5,92,76
"19",9095,"honda","hatchback",96.5,110,86
"20",8845,"honda","sedan",96.5,110,86
"21",36000,"jaguar","sedan",102,326,262
"22",5195,"mazda","hatchback",93.1,91,68
"23",8845,"mazda","hatchback",98.8,122,84
"24",8495,"mazda","sedan",98.8,122,84
"25",10595,"mazda","hatchback",98.8,122,84
"26",10245,"mazda","sedan",98.8,122,84
"27",18280,"mazda","sedan",104.9,140,120
"28",25552,"mercedes-benz","sedan",110,183,123
"29",28248,"mercedes-benz","wagon",110,183,123
"30",34184,"mercedes-benz","sedan",115.6,234,155
"31",45400,"mercedes-benz","hardtop",112,304,184
"32",6189,"mitsubishi","hatchback",93.7,92,68
"33",7689,"mitsubishi","hatchback",93,98,102
"34",8499,"mitsubishi","hatchback",96.3,122,88
"35",14489,"mitsubishi","hatchback",95.9,156,145
"36",6989,"mitsubishi","sedan",96.3,122,88
"37",8189,"mitsubishi","sedan",96.3,122,88
"38",9279,"mitsubishi","sedan",96.3,110,116
"39",7099,"nissan","sedan",94.5,103,55
"40",6849,"nissan","sedan",94.5,97,69
"41",7499,"nissan","sedan",94.5,97,69
"42",8249,"nissan","hardtop",95.1,97,69
"43",8949,"nissan","hatchback",97.2,120,97
"44",13499,"nissan","sedan",100.4,181,152
"45",14399,"nissan","wagon",100.4,181,152
"46",17199,"nissan","hatchback",91.3,181,160
"47",18399,"nissan","hatchback",99.2,181,160
"48",13200,"peugot","sedan",107.9,152,95
"49",15580,"peugot","sedan",107.9,120,95
"50",17075,"peugot","wagon",114.2,152,95
"51",16630,"peugot","sedan",107.9,120,97
"52",17950,"peugot","sedan",107.9,152,95
"53",5572,"plymouth","hatchback",93.7,90,68
"54",6229,"plymouth","hatchback",93.7,90,68
"55",7609,"plymouth","sedan",93.7,98,68
"56",32528,"porsche","hardtop",89.5,194,207
"57",37028,"porsche","convertible",89.5,194,207
"58",11850,"saab","hatchback",99.1,121,110
"59",15510,"saab","sedan",99.1,121,110
"60",18150,"saab","hatchback",99.1,121,160
"61",5118,"subaru","hatchback",93.7,97,69
"62",7603,"subaru","hatchback",93.3,108,73
"63",7775,"subaru","sedan",97.2,108,82
"64",9960,"subaru","sedan",97.2,108,94
"65",11259,"subaru","sedan",97,108,111
"66",10198,"subaru","wagon",97,108,94
"67",6488,"toyota","hatchback",95.7,92,62
"68",7898,"toyota","wagon",95.7,92,62
"69",6938,"toyota","sedan",95.7,98,70
"70",7198,"toyota","hatchback",95.7,98,70
"71",9298,"toyota","sedan",94.5,98,112
"72",9538,"toyota","hatchback",94.5,98,112
"73",8449,"toyota","hardtop",98.4,146,116
"74",9639,"toyota","hardtop",98.4,146,116
"75",11549,"toyota","hatchback",98.4,146,116
"76",17669,"toyota","convertible",98.4,146,116
"77",8948,"toyota","sedan",102.4,122,92
"78",10698,"toyota","sedan",102.4,110,73
"79",10898,"toyota","sedan",102.4,122,92
"80",11248,"toyota","hatchback",102.4,122,92
"81",16558,"toyota","hatchback",102.9,171,161
"82",15690,"toyota","sedan",104.5,171,156
"83",7775,"volkswagen","sedan",97.3,97,52
"84",7975,"volkswagen","sedan",97.3,109,85
"85",8195,"volkswagen","sedan",97.3,109,85
"86",11595,"volkswagen","convertible",94.5,109,90
"87",9980,"volkswagen","hatchback",94.5,109,90
"88",12290,"volkswagen","wagon",100.4,109,88
"89",12940,"volvo","sedan",104.3,141,114
"90",18420,"volvo","sedan",104.3,130,162
"91",16845,"volvo","sedan",109.1,141,114
"92",21485,"volvo","sedan",109.1,173,134
"93",22470,"volvo","sedan",109.1,145,106
